char_id,vn_id,role
515,3770,main
516,414,appears
517,414,appears
517,2123,side
518,414,side
519,414,appears
519,2123,side
520,3770,primary
521,414,side
521,2123,side
522,2123,side
523,414,appears
523,2123,side
524,3770,primary
525,2123,primary
526,3770,primary
527,2123,side
528,2123,side
529,2123,primary
530,2123,primary
531,3770,primary
532,2123,primary
533,1491,side
534,989,side
534,1438,side
535,903,side
535,2093,primary
536,903,side
536,2093,primary
537,4,primary
537,4060,primary
538,1491,primary
539,3770,side
540,3770,side
541,3770,primary
542,3770,side
543,3770,appears
544,3770,appears
545,3770,appears
546,3770,appears
547,3770,side
548,3770,side
549,3770,side
550,3770,side
551,431,primary
552,1194,main
552,1899,main
553,1194,primary
553,1899,primary
553,24275,appears
554,1194,primary
554,1899,side
554,24275,appears
555,1194,primary
555,1899,appears
555,24275,appears
556,1194,primary
556,1899,appears
556,24275,appears
557,1194,primary
557,1899,side
557,24275,appears
558,903,side
558,2093,appears
559,903,side
559,2093,side
560,1194,side
560,1899,primary
560,24275,appears
561,1194,side
561,1899,primary
561,24275,appears
562,1194,side
562,1899,side
563,2375,side
564,2375,side
565,2375,side
566,2375,side
567,5154,main
567,7723,main
567,7724,main
567,18831,main
567,19072,main
568,5154,primary
568,7723,primary
568,7724,primary
568,18830,primary
569,5154,primary
569,7723,primary
569,7724,primary
569,18830,primary
570,431,primary
571,5154,primary
571,7723,primary
571,7724,primary
571,18830,primary
572,2375,side
573,2375,primary
574,1000,main
575,1000,primary
576,5154,primary
576,7723,primary
576,7724,primary
576,18830,primary
577,5154,primary
577,7723,primary
577,7724,primary
577,18830,primary
578,5154,side
578,7723,side
578,7724,side
579,5154,side
579,7723,primary
579,7724,primary
579,18831,primary
579,19072,appears
580,5154,side
580,7723,primary
580,7724,primary
581,5154,appears
581,7723,primary
581,7724,appears
581,18831,primary
582,5154,appears
582,7723,appears
582,7724,appears
583,5154,appears
584,5154,appears
585,431,side
586,5154,appears
587,5154,appears
588,5154,appears
588,7724,appears
589,5154,appears
589,7724,appears
590,5154,appears
590,7724,appears
591,5154,appears
591,7724,appears
592,5154,appears
592,7724,appears
593,5154,appears
593,7724,appears
594,5154,appears
594,7724,appears
595,5154,appears
595,7724,appears
596,5154,appears
597,5154,appears
598,5154,appears
598,7724,appears
599,5154,appears
600,5154,appears
600,7723,appears
601,5154,appears
602,5154,appears
602,7723,appears
603,5154,appears
604,431,side
605,5154,appears
606,5154,appears
607,5154,appears
608,5154,appears
609,5154,appears
610,5154,appears
611,5154,appears
612,3066,main
613,3066,primary
614,3066,primary
615,3066,side
616,3066,primary
617,299,side
618,299,side
619,299,side
620,299,side
621,3066,primary
622,299,side
623,3066,side
624,751,side
624,8020,side
625,431,side
626,431,appears
627,3066,primary
628,3066,side
629,3066,side
630,3066,primary
631,2955,side
632,2955,main
633,2955,primary
634,2955,primary
635,2955,side
636,2955,primary
637,2955,primary
638,2955,side
639,2955,side
640,1445,primary
641,431,appears
642,1445,primary
643,299,side
644,299,side
645,299,side
646,431,side
647,431,side
648,3066,primary
649,3066,primary
650,3066,primary
651,1445,primary
652,1445,primary
653,1445,primary
654,23,primary
654,23,side
655,6671,primary
656,6671,primary
657,431,appears
658,6671,primary
659,6671,primary
660,431,appears
660,2016,appears
661,299,side
662,431,appears
663,431,side
664,431,appears
665,431,appears
666,7399,primary
667,431,appears
668,6747,primary
669,6747,primary
670,6747,primary
671,6747,primary
672,6747,primary
673,6747,side
674,6747,side
675,6747,side
676,6747,main
677,6747,side
678,6747,side
679,6747,side
680,24,primary
680,2153,primary
680,2153,side
681,7238,main
682,7238,primary
683,7238,primary
684,7238,primary
685,7238,primary
686,7238,primary
687,7238,primary
688,5256,primary
689,5256,primary
690,5256,main
691,5256,primary
692,5256,primary
693,5256,primary
694,5256,primary
695,5256,primary
696,5256,primary
697,7022,primary
698,7022,primary
699,7022,primary
700,7022,primary
701,7022,primary
702,7022,main
703,6671,primary
704,175,main
705,175,primary
706,175,primary
707,175,primary
708,175,primary
709,175,primary
710,175,primary
710,175,primary
711,175,side
711,18378,primary
712,175,side
713,4806,primary
714,4806,main
716,6671,side
717,6671,main
718,7261,primary
719,7261,primary
720,7261,primary
721,455,primary
721,1651,primary
722,1651,primary
723,1651,primary
724,1651,main
725,4806,primary
726,4806,primary
727,4806,primary
728,4985,main
729,4985,primary
729,24275,appears
730,299,side
731,299,side
732,299,side
733,4985,primary
733,24275,appears
734,4806,side
735,487,main
735,1111,appears
735,1414,main
735,1427,main
735,1829,main
735,2040,main
735,2043,main
735,2044,main
735,2046,main
735,2047,main
735,3066,appears
735,6985,main
735,13802,main
735,14022,main
735,17642,main
735,18970,main
735,20802,main
735,24002,main
735,25513,main
736,487,primary
736,1111,appears
736,6985,primary
737,6985,primary
737,13802,appears
737,20802,side
738,6985,primary
738,13802,primary
738,20802,primary
739,6985,primary
740,487,primary
740,1111,appears
740,1414,primary
740,1427,primary
740,1829,primary
740,2040,primary
740,2043,primary
740,2044,primary
740,2046,primary
740,2047,primary
740,6985,primary
740,13802,appears
740,14022,primary
740,17642,primary
740,18970,primary
740,20802,primary
741,6985,primary
741,13802,appears
741,20802,side
742,7382,main
743,7382,primary
744,7382,side
745,7382,primary
746,7382,primary
747,7382,primary
748,7382,primary
749,7382,primary
750,7382,primary
751,2622,primary
751,4981,primary
752,2622,primary
752,4981,primary
753,2622,primary
753,4981,primary
754,2622,primary
754,4981,side
755,2622,main
755,4981,main
756,255,primary
756,24275,appears
757,945,primary
758,945,primary
759,255,primary
759,24275,appears
760,945,primary
761,255,primary
761,24275,appears
762,945,primary
763,255,primary
763,24275,appears
764,945,primary
765,751,side
765,8020,side
766,945,primary
767,945,main
768,604,primary
768,6668,appears
768,16151,side
769,604,primary
769,16151,side
770,604,primary
770,16151,side
771,604,primary
771,16151,side
772,604,primary
773,604,primary
774,751,side
774,8020,side
775,801,main
775,802,main
775,1347,main
775,4670,main
775,10951,main
775,12171,main
775,14340,main
775,25915,main
776,801,primary
776,802,primary
776,1347,primary
776,4670,primary
776,10951,primary
776,12171,primary
776,14340,primary
776,25915,primary
777,801,primary
777,802,primary
777,1347,primary
777,4670,primary
777,10951,primary
777,12171,primary
777,14340,primary
777,25915,primary
778,801,primary
778,802,primary
778,1347,primary
778,4670,primary
778,10951,primary
778,12171,primary
778,25915,primary
779,801,primary
779,802,primary
779,1347,primary
779,4670,primary
779,10951,primary
779,12171,primary
779,25915,primary
780,801,side
780,802,side
780,1347,side
780,4670,side
780,14340,side
781,801,primary
781,802,primary
781,1347,primary
781,4670,primary
781,10951,appears
781,12171,appears
781,14340,primary
782,801,primary
782,802,primary
782,1347,primary
782,4670,primary
782,10951,primary
782,12171,primary
782,14340,primary
782,25915,primary
783,4806,side
784,801,primary
784,1347,side
784,4670,primary
784,14340,primary
785,801,primary
785,802,primary
785,1347,primary
785,4670,primary
785,10951,primary
785,12171,primary
785,14340,primary
785,25915,primary
786,801,primary
786,1347,primary
786,4670,primary
786,10951,primary
786,12171,primary
786,14340,primary
787,801,primary
787,802,primary
787,1347,primary
787,4670,primary
787,10951,primary
787,12171,primary
787,14340,primary
787,25915,primary
788,4806,primary
789,1510,primary
789,2940,primary
789,7284,primary
789,11130,primary
790,4806,side
791,4806,side
792,4806,side
793,1510,primary
793,2940,primary
793,7284,primary
793,11130,primary
794,1510,primary
794,2940,primary
794,7284,primary
794,11130,primary
795,1510,primary
795,2940,primary
795,7284,primary
795,11130,primary
796,100,primary
797,100,primary
798,100,primary
799,4806,side
800,100,primary
801,4806,side
802,455,primary
802,1651,primary
803,1651,side
804,1179,main
804,3789,main
804,5575,main
805,666,appears
805,1179,primary
805,5575,primary
805,5937,appears
805,8175,primary
806,1179,primary
806,3789,side
806,5575,primary
806,8175,primary
807,1179,primary
807,3789,side
807,5575,primary
807,8175,primary
808,1179,primary
808,3789,primary
808,5575,primary
808,8175,primary
809,860,primary
809,861,primary
809,862,primary
809,3125,primary
810,1179,primary
810,3789,side
810,5575,primary
810,8175,primary
811,860,main
811,861,main
811,862,main
811,3125,main
812,860,primary
812,861,primary
812,862,primary
812,3125,primary
813,861,primary
813,862,primary
813,3125,primary
814,666,appears
814,1179,primary
814,5575,primary
814,8175,primary
815,6718,primary
816,6718,primary
817,6718,primary
818,6718,primary
819,6718,primary
820,860,primary
820,861,primary
820,862,primary
820,3125,primary
821,860,primary
821,861,primary
821,862,primary
821,3125,primary
822,860,primary
822,861,primary
822,862,primary
822,3125,primary
823,4106,main
824,4106,primary
825,4106,primary
826,4106,primary
827,4106,primary
828,574,primary
829,574,main
830,574,primary
831,574,primary
832,574,primary
833,5802,primary
834,5802,primary
835,834,primary
836,860,primary
836,861,primary
836,862,primary
836,3125,primary
837,5802,primary
838,5802,primary
839,5802,primary
840,5802,main
841,2671,main
842,2671,primary
843,2671,primary
844,945,side
845,945,side
846,2671,primary
847,2671,primary
848,1277,primary
849,1277,primary
850,1277,primary
851,1277,primary
852,1369,side
852,2693,side
853,1369,side
853,2693,primary
854,1369,side
854,2693,primary
855,1369,side
855,2693,primary
856,1369,side
856,2693,primary
857,1369,side
857,2693,side
858,1369,side
858,2693,side
859,2934,primary
860,2934,main
861,2934,primary
862,2934,primary
863,2934,primary
864,2934,primary
865,902,primary
866,902,primary
867,961,primary
868,961,primary
869,961,primary
870,961,primary
871,961,main
872,617,main
873,617,main
874,617,primary
875,617,primary
876,617,primary
877,617,primary
878,1369,primary
878,2693,side
879,1369,primary
879,2693,side
880,1369,primary
880,2693,side
881,1369,main
881,2693,main
882,1369,primary
882,2693,side
883,860,appears
883,861,side
883,862,side
884,834,primary
885,834,side
886,834,primary
887,834,primary
888,834,main
889,834,side
890,3066,primary
891,5316,main
892,5316,primary
893,5316,primary
894,5316,primary
895,5316,primary
896,2031,main
897,860,side
897,861,side
897,862,side
898,861,side
898,862,side
899,860,side
899,861,side
899,862,side
900,2031,primary
901,2031,primary
902,2031,primary
903,2031,primary
904,2031,side
905,2031,primary
906,2031,appears
